Trajectories
100
		platform:platform1			platform:platform2			platform:platform3			platform:platform4			platform:platform5			
Frame	Sub Frame	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
		mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
1	0	1567.21	-593.433	-376.25	1401.7	-755.378	-324.911	1761.5	-694.664	-277.634	1744.08	-419.534	-345.143	1360.02	-477.729	-396.229
2	0	1567.21	-593.425	-376.252	1401.7	-755.373	-324.918	1761.48	-694.643	-277.612	1744.08	-419.535	-345.14	1360.02	-477.721	-396.228
3	0	1567.21	-593.425	-376.26	1401.71	-755.37	-324.928	1761.47	-694.657	-277.632	1744.07	-419.528	-345.134	1360.02	-477.728	-396.226
4	0	1567.22	-593.418	-376.257	1401.71	-755.37	-324.93	1761.49	-694.701	-277.636	1744.07	-419.54	-345.125	1360.02	-477.718	-396.226
5	0	1567.21	-593.421	-376.259	1401.71	-755.379	-324.936	1761.5	-694.666	-277.632	1744.08	-419.551	-345.124	1360.03	-477.713	-396.224
6	0	1567.21	-593.413	-376.262	1401.7	-755.374	-324.941	1761.47	-694.626	-277.648	1744.09	-419.558	-345.117	1360.03	-477.705	-396.219
7	0	1567.2	-593.413	-376.257	1401.69	-755.373	-324.945	1761.46	-694.638	-277.65	1744.1	-419.572	-345.113	1360.04	-477.698	-396.219
8	0	1567.21	-593.405	-376.267	1401.7	-755.367	-324.948	1761.5	-694.655	-277.677	1744.11	-419.588	-345.112	1360.05	-477.687	-396.219
9	0	1567.21	-593.409	-376.272	1401.7	-755.37	-324.945	1761.53	-694.651	-277.663	1744.11	-419.59	-345.11	1360.05	-477.686	-396.218
10	0	1567.21	-593.397	-376.267	1401.69	-755.367	-324.948	1761.52	-694.622	-277.654	1744.12	-419.597	-345.115	1360.06	-477.675	-396.215
11	0	1567.2	-593.401	-376.27	1401.69	-755.37	-324.939	1761.5	-694.635	-277.677	1744.12	-419.609	-345.111	1360.06	-477.678	-396.211
12	0	1567.19	-593.399	-376.269	1401.68	-755.368	-324.936	1761.52	-694.598	-277.687	1744.13	-419.621	-345.12	1360.06	-477.673	-396.214
13	0	1567.19	-593.401	-376.272	1401.68	-755.367	-324.935	1761.49	-694.629	-277.716	1744.13	-419.63	-345.123	1360.07	-477.67	-396.212
14	0	1567.17	-593.398	-376.271	1401.69	-755.371	-324.931	1761.53	-694.612	-277.71	1744.13	-419.614	-345.131	1360.08	-477.661	-396.212
15	0	1567.17	-593.412	-376.276	1401.68	-755.365	-324.919	1761.53	-694.569	-277.693	1744.14	-419.609	-345.143	1360.07	-477.664	-396.209
16	0	1567.17	-593.407	-376.275	1401.67	-755.371	-324.918	1761.52	-694.616	-277.704	1744.13	-419.607	-345.145	1360.06	-477.671	-396.209
17	0	1567.17	-593.412	-376.275	1401.67	-755.371	-324.907	1761.52	-694.633	-277.695	1744.13	-419.601	-345.156	1360.06	-477.682	-396.211
18	0	1567.19	-593.407	-376.27	1401.67	-755.371	-324.896	1761.49	-694.624	-277.702	1744.14	-419.614	-345.166	1360.06	-477.672	-396.21
19	0	1567.17	-593.413	-376.275	1401.68	-755.367	-324.89	1761.54	-694.609	-277.688	1744.13	-419.613	-345.167	1360.04	-477.687	-396.212
20	0	1567.17	-593.424	-376.274	1401.67	-755.367	-324.883	1761.52	-694.611	-277.662	1744.13	-419.622	-345.179	1360.05	-477.683	-396.209
21	0	1567.17	-593.423	-376.269	1401.66	-755.375	-324.875	1761.53	-694.594	-277.672	1744.13	-419.616	-345.185	1360.05	-477.68	-396.207
