Trajectories
100
		platform:platform1			platform:platform2			platform:platform3			platform:platform4			platform:platform5			
Frame	Sub Frame	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
		mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
1	0	1413.87	-837.344	-258.439	1210.44	-936.61	-190.251	1572.66	-967.335	-135.499	1631.87	-714.3	-248.1	1247.2	-675.093	-309.364
2	0	1411.41	-836.109	-257.556	1207.39	-932.948	-187.658	1569.89	-968.468	-136.881	1630.84	-715.701	-249.1	1246.06	-671.295	-306.118
3	0	1408.8	-834.513	-256.879	1204.59	-929.635	-185.111	1567.89	-969.706	-139.324	1629.68	-716.646	-250.238	1244.85	-667.936	-302.739
4	0	1406.2	-833.075	-256.321	1201.96	-926.705	-182.803	1564.75	-969.643	-140.207	1628.12	-717.113	-251.585	1243.12	-664.783	-299.811
5	0	1403.76	-831.546	-255.796	1199.48	-924.15	-180.775	1562.4	-969.751	-142.218	1626.25	-717.101	-253.063	1241.3	-661.985	-296.789
6	0	1401.02	-829.995	-255.83	1197.19	-921.949	-178.947	1560.12	-969.472	-144.533	1624.23	-716.642	-254.644	1239.21	-659.254	-293.974
7	0	1398.53	-828.399	-255.775	1195.09	-920.179	-177.501	1558.28	-968.953	-146.938	1621.98	-715.739	-256.398	1236.63	-657.168	-291.625
8	0	1395.78	-826.7	-256.294	1193.15	-918.831	-176.329	1556.64	-968.158	-149.692	1619.46	-714.365	-258.327	1233.88	-655.175	-289.324
9	0	1393.24	-825.142	-256.782	1191.42	-917.857	-175.499	1555.31	-967.084	-152.652	1616.73	-712.557	-260.394	1230.85	-653.459	-287.222
10	0	1390.56	-823.476	-257.598	1189.86	-917.307	-174.942	1553.93	-965.739	-156.018	1613.8	-710.364	-262.618	1227.5	-652.068	-285.311
11	0	1387.9	-821.901	-258.591	1188.39	-917.174	-174.716	1552.68	-964.196	-159.592	1610.68	-707.781	-264.903	1223.84	-650.997	-283.541
12	0	1385.39	-820.372	-259.635	1187.07	-917.412	-174.774	1552.03	-962.377	-163.334	1607.2	-704.823	-267.312	1219.85	-650.19	-281.976
13	0	1382.57	-818.722	-261.045	1185.91	-918.074	-175.019	1551.28	-960.242	-167.272	1603.53	-701.377	-269.596	1215.73	-649.829	-280.359
14	0	1379.98	-817.262	-262.287	1184.93	-919.213	-175.401	1550.75	-957.893	-171.2	1599.71	-697.832	-271.864	1211.22	-649.734	-278.914
15	0	1377.18	-815.829	-263.71	1184.01	-920.536	-176.139	1549.51	-955.413	-175.052	1595.52	-693.884	-274.198	1206.48	-649.974	-277.637
16	0	1374.52	-814.395	-265.076	1183.31	-922.294	-176.859	1549.63	-952.642	-179.025	1591.15	-689.703	-276.306	1201.6	-650.72	-276.273
