Trajectories
100
		platform:platform1			platform:platform2			platform:platform3			platform:platform4			platform:platform5			
Frame	Sub Frame	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
		mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
1	0	1885.54	-638.492	-463.935	1703.88	-789.893	-448.449				2052.7	-467.164	-399.967	1699.48	-519.764	-554.18
2	0	1885.55	-638.5	-463.949	1703.84	-789.862	-448.449				2052.75	-467.207	-399.979	1699.49	-519.742	-554.168
3	0	1885.54	-638.503	-463.962	1703.81	-789.822	-448.446				2052.79	-467.249	-399.992	1699.5	-519.706	-554.155
4	0	1885.53	-638.505	-463.972	1703.76	-789.786	-448.444				2052.82	-467.289	-400.032	1699.51	-519.667	-554.139
5	0	1885.52	-638.505	-463.986	1703.75	-789.75	-448.443				2052.83	-467.274	-400.064	1699.52	-519.614	-554.116
6	0	1885.51	-638.51	-464.005	1703.69	-789.709	-448.432				2052.83	-467.318	-400.103	1699.53	-519.572	-554.089
7	0	1885.49	-638.506	-464.015	1703.67	-789.66	-448.432				2052.85	-467.318	-400.147	1699.53	-519.516	-554.066
8	0	1885.46	-638.499	-464.023	1703.63	-789.622	-448.425				2052.88	-467.357	-400.182	1699.53	-519.454	-554.036
9	0	1885.46	-638.509	-464.051	1703.57	-789.57	-448.406				2052.93	-467.385	-400.232	1699.53	-519.41	-554.011
10	0	1885.44	-638.507	-464.072	1703.52	-789.527	-448.398				2052.91	-467.417	-400.278	1699.52	-519.356	-553.976
11	0	1885.41	-638.508	-464.084	1703.48	-789.483	-448.392				2053	-467.332	-400.32	1699.53	-519.318	-553.954
12	0	1885.39	-638.503	-464.109	1703.27	-789.46	-448.283				2052.89	-467.353	-400.384	1699.52	-519.244	-553.924
13	0	1885.36	-638.497	-464.118	1703.34	-789.398	-448.332				2052.9	-467.403	-400.445	1699.51	-519.191	-553.898
14	0	1885.34	-638.491	-464.132	1703.29	-789.356	-448.31				2052.86	-467.387	-400.5	1699.51	-519.15	-553.879
15	0	1885.33	-638.498	-464.158	1703.25	-789.316	-448.289				2052.91	-467.439	-400.572	1699.5	-519.122	-553.858
16	0	1885.3	-638.494	-464.166	1703.17	-789.265	-448.252				2052.92	-467.428	-400.621	1699.48	-519.09	-553.839
17	0	1885.28	-638.49	-464.185	1703.12	-789.238	-448.232				2052.92	-467.492	-400.666	1699.46	-519.094	-553.819
18	0	1885.26	-638.497	-464.201	1703.06	-789.2	-448.203				2052.83	-467.493	-400.735	1699.45	-519.079	-553.801
19	0	1885.23	-638.492	-464.212	1703.05	-789.176	-448.188				2052.86	-467.509	-400.777	1699.42	-519.045	-553.782
20	0	1885.21	-638.494	-464.228	1702.99	-789.144	-448.154				2052.96	-467.592	-400.814	1699.4	-519.011	-553.77
21	0	1885.19	-638.496	-464.234	1702.96	-789.12	-448.135				2053.01	-467.53	-400.855	1699.38	-519.006	-553.753
22	0	1885.17	-638.491	-464.242	1702.93	-789.101	-448.104				2053.11	-467.479	-400.882	1699.35	-518.981	-553.741
