Trajectories
100
		platform:platform1			platform:platform2			platform:platform3			platform:platform4			platform:platform5			
Frame	Sub Frame	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
		mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
1	0	1240.9	-214.907	-719.308	1077.18	-381.717	-681.109	1440.62	-335.668	-670.749	1425.14	-52.6877	-677.24	1037.15	-95.2838	-688.211
2	0	1240.86	-214.894	-719.315	1076.92	-381.534	-681.367	1440.65	-335.599	-671.132	1425.32	-52.743	-677.525	1037.33	-95.3119	-688.445
3	0	1240.54	-214.816	-719.055	1077.12	-381.609	-681.416	1440.52	-335.54	-671.122	1425.52	-52.8013	-677.827	1037.15	-95.2865	-688.202
4	0	1240.86	-214.885	-719.302	1077.02	-381.587	-681.384	1440.7	-335.614	-671.131	1425.53	-52.8225	-677.83	1036.83	-95.1181	-688.479
5	0	1240.53	-214.779	-719.072	1076.93	-381.553	-681.342	1440.72	-335.63	-671.087	1425.13	-52.6898	-677.276	1037.15	-95.2844	-688.2
6	0	1240.52	-214.79	-719.088	1076.96	-381.578	-681.362	1440.76	-335.649	-671.087	1425.31	-52.7271	-677.526	1037.14	-95.2748	-688.192
7	0	1240.57	-214.811	-719.091	1077.17	-381.712	-681.114	1440.76	-335.647	-671.078	1425.29	-52.7262	-677.533	1036.89	-95.1359	-688.437
8	0	1240.85	-214.878	-719.313	1076.88	-381.529	-681.337	1440.7	-335.628	-671.053	1425.11	-52.6371	-677.307	1037.13	-95.2796	-688.203
9	0	1240.57	-214.79	-719.119	1076.96	-381.573	-681.338	1440.71	-335.63	-671.024	1425.29	-52.7366	-677.523	1036.9	-95.1384	-688.404
10	0	1240.68	-214.841	-719.12	1077.04	-381.603	-681.327	1440.82	-335.667	-671.049	1425.21	-52.7286	-677.349	1037.15	-95.2814	-688.194
11	0	1240.62	-214.832	-719.126	1077.15	-381.706	-681.126	1440.61	-335.575	-671.069	1425.29	-52.7413	-677.538	1037.13	-95.2853	-688.205
12	0	1240.68	-214.848	-719.143	1076.89	-381.555	-681.293	1440.65	-335.588	-671.029	1425.46	-52.8082	-677.71	1036.92	-95.1516	-688.383
13	0	1240.85	-214.878	-719.31	1076.98	-381.596	-681.296	1440.69	-335.62	-671.025	1425.21	-52.7356	-677.347	1036.94	-95.1535	-688.351
14	0	1240.59	-214.783	-719.171	1076.97	-381.579	-681.29	1440.66	-335.606	-671.012	1425.27	-52.7329	-677.526	1037.14	-95.2857	-688.196
15	0	1240.87	-214.891	-719.308	1077.14	-381.666	-681.227	1440.57	-335.652	-670.751	1425.23	-52.7275	-677.362	1036.9	-95.148	-688.366
16	0	1240.83	-214.857	-719.312	1077.24	-381.747	-681.081	1440.59	-335.593	-670.976	1425.24	-52.7469	-677.367	1037.12	-95.2765	-688.189
17	0	1240.68	-214.842	-719.147	1077.23	-381.752	-681.082	1440.55	-335.646	-670.769	1425.32	-52.7508	-677.527	1037.14	-95.2907	-688.2
18	0	1240.62	-214.815	-719.171	1077.04	-381.622	-681.261	1440.7	-335.644	-670.949	1425.3	-52.7455	-677.538	1037.14	-95.2989	-688.198
19	0	1240.84	-214.869	-719.325	1077.01	-381.611	-681.266	1440.61	-335.658	-670.749	1425.29	-52.7416	-677.52	1037.12	-95.2792	-688.189
20	0	1240.75	-214.875	-719.147	1077.04	-381.622	-681.266	1440.7	-335.627	-670.983	1425.32	-52.7337	-677.551	1036.93	-95.1726	-688.369
21	0	1240.84	-214.868	-719.313	1077.3	-381.719	-681.283	1440.56	-335.58	-670.956	1425.34	-52.7559	-677.534	1037.14	-95.2815	-688.192
22	0	1240.85	-214.877	-719.306	1076.92	-381.565	-681.281	1440.57	-335.648	-670.739	1425.17	-52.696	-677.352	1036.95	-95.1765	-688.359
23	0	1240.82	-214.861	-719.298	1077.22	-381.754	-681.079	1440.53	-335.568	-670.979	1425.48	-52.8178	-677.695	1037.12	-95.2895	-688.196
24	0	1240.6	-214.806	-719.178	1077.05	-381.635	-681.277	1440.52	-335.573	-670.961	1425.31	-52.7346	-677.534	1037.11	-95.2765	-688.2
25	0	1240.81	-214.846	-719.309	1077.03	-381.611	-681.284	1440.63	-335.603	-670.974	1425.3	-52.7433	-677.55	1036.94	-95.1673	-688.371
26	0	1240.67	-214.833	-719.146	1077.03	-381.619	-681.296	1440.58	-335.595	-670.965	1425.46	-52.7979	-677.715	1037.13	-95.2895	-688.191
27	0	1240.86	-214.895	-719.303	1077.03	-381.61	-681.235	1440.57	-335.595	-670.987	1425.29	-52.8089	-677.379	1036.92	-95.1618	-688.373
28	0	1240.88	-214.894	-719.309	1077.11	-381.645	-681.287	1440.53	-335.552	-670.99	1425.22	-52.7288	-677.355	1037.13	-95.2842	-688.196
29	0	1240.82	-214.869	-719.3	1077.05	-381.628	-681.297	1440.69	-335.635	-670.995	1425.25	-52.762	-677.361	1037.14	-95.2839	-688.203
30	0	1240.84	-214.872	-719.307	1077.01	-381.595	-681.299	1440.64	-335.604	-671.02	1425.32	-52.7454	-677.544	1037.11	-95.271	-688.207
31	0	1240.86	-214.887	-719.312	1077.15	-381.677	-681.3	1440.74	-335.612	-671.055	1425.34	-52.7639	-677.535	1037.14	-95.2859	-688.198
32	0	1240.83	-214.866	-719.309	1077	-381.609	-681.261	1440.68	-335.623	-671.038	1425.51	-52.8164	-677.675	1036.93	-95.163	-688.386
33	0	1240.84	-214.873	-719.304	1077.22	-381.767	-681.07	1440.77	-335.633	-671.073	1425.44	-52.7914	-677.66	1037.12	-95.2763	-688.19
34	0	1240.85	-214.884	-719.306	1077	-381.599	-681.262	1440.76	-335.627	-671.174	1425.26	-52.7119	-677.536	1037.14	-95.2929	-688.185
35	0	1240.89	-214.888	-719.316	1077.4	-381.782	-681.278	1440.61	-335.564	-671.132	1425.28	-52.7321	-677.54	1036.95	-95.1658	-688.372
36	0	1240.64	-214.819	-719.159	1077.02	-381.605	-681.292	1440.62	-335.574	-671.14	1425.46	-52.8099	-677.701	1037.13	-95.2754	-688.2
37	0	1240.86	-214.883	-719.294	1077.23	-381.728	-681.078	1440.64	-335.578	-671.09	1425.29	-52.7301	-677.553	1036.96	-95.185	-688.364
38	0	1240.71	-214.843	-719.14	1077.18	-381.728	-681.104	1440.58	-335.639	-670.757	1425.28	-52.7382	-677.529	1036.94	-95.1609	-688.351
39	0	1240.87	-214.889	-719.301	1077.01	-381.603	-681.288	1440.61	-335.605	-670.976	1425.32	-52.7481	-677.535	1037.12	-95.2853	-688.199
40	0	1240.63	-214.811	-719.168	1077.01	-381.601	-681.284	1440.54	-335.633	-670.743	1425.11	-52.6304	-677.366	1036.94	-95.1706	-688.361
41	0	1240.89	-214.911	-719.311	1077.15	-381.698	-681.136	1440.67	-335.62	-670.978	1425.21	-52.7208	-677.355	1036.96	-95.1782	-688.361
42	0	1240.86	-214.886	-719.308	1077.06	-381.622	-681.288	1440.8	-335.668	-671	1425.3	-52.7302	-677.542	1037.13	-95.2824	-688.198
43	0	1240.64	-214.805	-719.17	1077.02	-381.611	-681.278	1440.52	-335.581	-670.964	1425.44	-52.7955	-677.707	1037.13	-95.2795	-688.191
44	0	1240.87	-214.874	-719.296	1077.19	-381.735	-681.097	1440.78	-335.665	-670.995	1425.26	-52.7257	-677.541	1036.95	-95.1709	-688.359
45	0	1240.61	-214.802	-719.166	1077.03	-381.61	-681.295	1440.62	-335.61	-670.996	1425.46	-52.8032	-677.715	1036.95	-95.1793	-688.368
46	0	1240.85	-214.871	-719.312	1076.99	-381.594	-681.278	1440.57	-335.579	-671.002	1425.23	-52.7228	-677.36	1037.13	-95.2922	-688.193
47	0	1240.84	-214.886	-719.315	1077.42	-381.783	-681.284	1440.81	-335.664	-671.047	1425.29	-52.7415	-677.519	1037.14	-95.2853	-688.194
48	0	1240.86	-214.887	-719.309	1076.96	-381.567	-681.286	1440.58	-335.59	-671.042	1425.3	-52.7393	-677.55	1036.94	-95.1745	-688.347
49	0	1240.64	-214.811	-719.149	1077.05	-381.624	-681.299	1440.82	-335.667	-671.021	1425.2	-52.7034	-677.376	1036.91	-95.1593	-688.349
50	0	1240.85	-214.879	-719.316	1076.91	-381.563	-681.289	1440.76	-335.628	-671.066	1425.34	-52.7572	-677.539	1037.13	-95.2721	-688.188
51	0	1240.54	-214.767	-719.221	1076.54	-381.408	-681.187	1440.98	-335.706	-671.151	1425.33	-52.7618	-677.53	1036.95	-95.1674	-688.363
52	0	1240.84	-214.857	-719.312	1076.94	-381.569	-681.325	1440.6	-335.563	-671.152	1425.42	-52.8018	-677.717	1037.12	-95.2785	-688.199
53	0	1240.63	-214.806	-719.163	1077.17	-381.706	-681.114	1440.53	-335.505	-671.167	1425.3	-52.7424	-677.527	1037.14	-95.2896	-688.194
54	0	1240.7	-214.856	-719.142	1077.16	-381.703	-681.12	1440.67	-335.586	-671.113	1425.3	-52.7362	-677.534	1037.12	-95.2764	-688.199
55	0	1240.74	-214.863	-719.161	1076.97	-381.579	-681.304	1440.56	-335.628	-670.743	1425.43	-52.7898	-677.694	1036.97	-95.1889	-688.361
56	0	1240.81	-214.876	-719.299	1077.04	-381.622	-681.297	1440.6	-335.603	-670.996	1425.43	-52.8022	-677.672	1036.94	-95.1796	-688.362
57	0	1240.68	-214.835	-719.151	1077.03	-381.613	-681.284	1440.45	-335.54	-670.957	1425.42	-52.7902	-677.693	1037.14	-95.3025	-688.194
58	0	1240.65	-214.836	-719.141	1076.92	-381.574	-681.275	1440.55	-335.64	-670.752	1425.43	-52.8015	-677.669	1037.11	-95.2852	-688.203
59	0	1240.61	-214.812	-719.105	1077.25	-381.702	-681.313	1440.68	-335.624	-670.966	1425.43	-52.8005	-677.698	1037.13	-95.2757	-688.211
60	0	1240.62	-214.822	-719.106	1077.03	-381.61	-681.274	1440.71	-335.64	-670.995	1425.46	-52.8058	-677.704	1037.12	-95.2834	-688.208
61	0	1240.63	-214.836	-719.07	1076.94	-381.579	-681.317	1440.79	-335.667	-670.991	1425.33	-52.751	-677.524	1037.11	-95.2628	-688.199
62	0	1240.83	-214.881	-719.296	1077.01	-381.619	-681.318	1440.63	-335.598	-670.952	1425.28	-52.7371	-677.548	1037.12	-95.2789	-688.197
63	0	1240.67	-214.841	-719.152	1077.17	-381.71	-681.093	1440.58	-335.573	-671.013	1425.33	-52.7554	-677.541	1036.93	-95.1675	-688.375
64	0	1240.73	-214.866	-719.142	1077.38	-381.774	-681.28	1440.55	-335.562	-671.029	1425.25	-52.7624	-677.359	1037.14	-95.2899	-688.196
65	0	1240.64	-214.824	-719.155	1077.01	-381.615	-681.288	1440.55	-335.577	-671.02	1425.23	-52.7565	-677.37	1036.93	-95.1661	-688.356
66	0	1240.72	-214.873	-719.165	1076.96	-381.583	-681.258	1440.8	-335.666	-671.053	1425.17	-52.6881	-677.343	1036.92	-95.1587	-688.364
67	0	1240.88	-214.888	-719.306	1076.98	-381.605	-681.291	1440.76	-335.642	-671.062	1425.24	-52.7081	-677.537	1036.9	-95.1687	-688.361
68	0	1240.83	-214.87	-719.318	1077.07	-381.618	-681.293	1440.83	-335.659	-671.056	1425.28	-52.7249	-677.529	1037.13	-95.2858	-688.202
69	0	1240.9	-214.901	-719.312	1076.97	-381.579	-681.302	1440.57	-335.573	-671.04	1425.32	-52.7585	-677.557	1037.12	-95.2779	-688.203
70	0	1240.6	-214.805	-719.171	1076.96	-381.581	-681.324	1440.7	-335.623	-671.061	1425.2	-52.7123	-677.382	1037.1	-95.2742	-688.2
71	0	1240.63	-214.81	-719.15	1076.94	-381.567	-681.325	1440.74	-335.614	-671.134	1425.33	-52.7615	-677.544	1036.95	-95.1821	-688.367
72	0	1240.57	-214.776	-719.216	1076.91	-381.563	-681.343	1440.56	-335.597	-670.98	1425.45	-52.7983	-677.68	1036.9	-95.1536	-688.374
73	0	1240.66	-214.823	-719.156	1076.99	-381.577	-681.359	1440.68	-335.621	-670.963	1425.42	-52.7887	-677.68	1037.12	-95.2895	-688.201
74	0	1240.86	-214.895	-719.314	1076.99	-381.582	-681.352	1440.57	-335.643	-670.723	1425.42	-52.7931	-677.688	1037.09	-95.2468	-688.195
75	0	1240.62	-214.812	-719.175	1077.14	-381.696	-681.121	1440.58	-335.595	-671.007	1425.32	-52.7466	-677.567	1036.96	-95.1715	-688.378
76	0	1240.84	-214.874	-719.311	1076.97	-381.577	-681.29	1440.65	-335.612	-670.977	1425.3	-52.7417	-677.563	1037.1	-95.2678	-688.198
77	0	1240.68	-214.847	-719.167	1076.94	-381.577	-681.257	1440.51	-335.562	-670.947	1425.41	-52.7843	-677.682	1037.13	-95.2801	-688.195
78	0	1240.83	-214.903	-719.135	1077.16	-381.702	-681.126	1440.55	-335.575	-670.977	1425.47	-52.8139	-677.719	1037.14	-95.2822	-688.207
79	0	1240.85	-214.876	-719.317	1077.16	-381.727	-681.119	1440.5	-335.555	-671.008	1425.22	-52.7386	-677.386	1037.12	-95.277	-688.199
80	0	1240.86	-214.94	-719.135	1076.95	-381.587	-681.286	1440.47	-335.547	-671.015	1425.2	-52.7161	-677.39	1036.94	-95.17	-688.369
81	0	1240.72	-214.853	-719.148	1077.02	-381.602	-681.279	1440.61	-335.591	-671.019	1425.45	-52.8112	-677.711	1037.13	-95.2831	-688.203
82	0	1240.86	-214.89	-719.302	1077.15	-381.71	-681.118	1440.62	-335.599	-671.048	1425.34	-52.7438	-677.567	1037.11	-95.2735	-688.206
83	0	1240.88	-214.902	-719.309	1077.01	-381.612	-681.289	1440.62	-335.58	-671.06	1425.44	-52.7824	-677.712	1037.13	-95.2826	-688.202
84	0	1240.87	-214.896	-719.304	1077.15	-381.724	-681.126	1440.76	-335.641	-671.088	1425.39	-52.7713	-677.685	1037.11	-95.2656	-688.202
85	0	1240.9	-214.909	-719.297	1077.15	-381.712	-681.108	1440.85	-335.658	-671.089	1425.28	-52.7418	-677.526	1037.14	-95.2874	-688.205
86	0	1240.89	-214.887	-719.326	1077.18	-381.721	-681.114	1440.59	-335.564	-671.156	1425.22	-52.7485	-677.37	1036.93	-95.1673	-688.355
87	0	1240.85	-214.891	-719.307	1077.03	-381.605	-681.3	1440.49	-335.521	-671.183	1425.45	-52.7951	-677.716	1036.91	-95.1582	-688.356
88	0	1240.76	-214.876	-719.143	1076.98	-381.584	-681.309	1440.66	-335.605	-671.098	1425.43	-52.7809	-677.674	1036.93	-95.1613	-688.365
89	0	1240.63	-214.805	-719.157	1076.93	-381.569	-681.293	1440.72	-335.607	-671.143	1425.17	-52.6962	-677.35	1037.11	-95.2878	-688.204
90	0	1240.66	-214.823	-719.151	1076.93	-381.566	-681.293	1440.81	-335.639	-671.12	1425.42	-52.7847	-677.69	1036.94	-95.1545	-688.367
91	0	1240.86	-214.892	-719.309	1077	-381.603	-681.3	1440.66	-335.593	-671.078	1425.43	-52.7765	-677.708	1036.92	-95.1687	-688.352
92	0	1240.58	-214.81	-719.188	1076.97	-381.583	-681.306	1440.67	-335.594	-671.079	1425.31	-52.7442	-677.519	1037.12	-95.2772	-688.192
93	0	1240.62	-214.805	-719.173	1076.53	-381.418	-681.233	1440.68	-335.599	-671.154	1425.29	-52.7805	-677.377	1036.93	-95.1694	-688.368
94	0	1240.64	-214.827	-719.168	1077.19	-381.741	-681.084	1440.68	-335.597	-671.143	1425.42	-52.7924	-677.702	1037.14	-95.2871	-688.206
95	0	1240.68	-214.829	-719.146	1077.03	-381.608	-681.298	1440.58	-335.545	-671.175	1425.19	-52.7132	-677.38	1037.14	-95.2819	-688.19
96	0	1240.79	-214.877	-719.127	1077.07	-381.63	-681.294	1440.54	-335.529	-671.179	1425.18	-52.6893	-677.359	1036.94	-95.1684	-688.364
97	0	1240.86	-214.888	-719.303	1076.98	-381.608	-681.297	1440.49	-335.506	-671.178	1425.3	-52.7413	-677.534	1037.14	-95.2772	-688.198
98	0	1240.85	-214.886	-719.301	1076.95	-381.572	-681.283	1440.56	-335.592	-671.266	1425.28	-52.7345	-677.528	1036.97	-95.18	-688.35
99	0	1240.9	-214.903	-719.298	1077	-381.609	-681.288	1440.76	-335.621	-671.19	1425.31	-52.7509	-677.538	1036.9	-95.1418	-688.364
100	0	1240.87	-214.887	-719.329	1077.18	-381.718	-681.102	1440.7	-335.643	-670.982	1425.28	-52.7298	-677.533	1036.91	-95.1517	-688.358
101	0	1240.62	-214.81	-719.166	1076.97	-381.59	-681.292	1440.79	-335.679	-670.97	1425.3	-52.7325	-677.53	1037.05	-95.2116	-688.351
102	0	1240.63	-214.823	-719.159	1077.22	-381.689	-681.317	1440.62	-335.615	-670.984	1425.21	-52.7182	-677.385	1037.11	-95.2779	-688.199
103	0	1240.84	-214.887	-719.306	1077.12	-381.653	-681.302	1440.61	-335.596	-670.992	1425.03	-52.5513	-677.38	1037.13	-95.2749	-688.193
104	0	1240.66	-214.826	-719.158	1076.95	-381.579	-681.287	1440.43	-335.541	-670.979	1425.24	-52.746	-677.36	1036.93	-95.1664	-688.36
105	0	1240.71	-214.849	-719.13	1077.12	-381.688	-681.125	1440.66	-335.622	-670.995	1425.34	-52.7543	-677.558	1037.12	-95.2817	-688.199
106	0	1240.84	-214.879	-719.306	1077.13	-381.681	-681.119	1440.66	-335.609	-671.006	1425.41	-52.7607	-677.714	1036.93	-95.1741	-688.378
107	0	1240.74	-214.86	-719.143	1076.94	-381.579	-681.28	1440.74	-335.642	-671.028	1425.2	-52.7136	-677.389	1037.11	-95.2767	-688.211
108	0	1240.76	-214.865	-719.146	1077.19	-381.676	-681.302	1440.75	-335.655	-671.057	1425.27	-52.7255	-677.536	1037.1	-95.2565	-688.194
109	0	1240.85	-214.872	-719.308	1077.19	-381.725	-681.105	1440.66	-335.615	-671.089	1425.31	-52.7371	-677.534	1037.1	-95.2495	-688.197
110	0	1240.82	-214.899	-719.132	1077.17	-381.701	-681.107	1440.58	-335.647	-670.754	1425.23	-52.7401	-677.404	1037.11	-95.2607	-688.201
111	0	1240.86	-214.886	-719.303	1077.06	-381.632	-681.287	1440.61	-335.609	-670.984	1425.31	-52.7347	-677.54	1037.12	-95.2688	-688.191
112	0	1240.82	-214.857	-719.316	1077.02	-381.601	-681.296	1440.69	-335.649	-670.981	1425.17	-52.6895	-677.369	1036.95	-95.1733	-688.354
113	0	1240.62	-214.804	-719.161	1077.19	-381.727	-681.107	1440.58	-335.576	-670.988	1425.44	-52.7867	-677.703	1037.13	-95.2813	-688.199
114	0	1240.65	-214.826	-719.153	1077.15	-381.716	-681.117	1440.69	-335.643	-670.99	1425.43	-52.7886	-677.686	1036.96	-95.1774	-688.356
115	0	1240.82	-214.862	-719.304	1077.16	-381.7	-681.096	1440.57	-335.637	-670.758	1425.2	-52.7073	-677.373	1037.13	-95.2803	-688.212
116	0	1240.87	-214.89	-719.308	1077.3	-381.723	-681.308	1440.7	-335.631	-670.97	1425.33	-52.7564	-677.531	1036.94	-95.1557	-688.354
117	0	1240.66	-214.833	-719.158	1076.89	-381.546	-681.298	1440.57	-335.647	-670.749	1425.31	-52.7329	-677.541	1037.12	-95.2772	-688.206
118	0	1240.85	-214.876	-719.317	1077.12	-381.676	-681.123	1440.57	-335.639	-670.743	1425.31	-52.7333	-677.569	1036.94	-95.1622	-688.361
119	0	1240.81	-214.859	-719.299	1077	-381.599	-681.29	1440.62	-335.598	-670.981	1425.38	-52.7445	-677.691	1036.93	-95.1511	-688.374
120	0	1240.6	-214.803	-719.151	1077.06	-381.617	-681.312	1440.66	-335.635	-670.986	1425.18	-52.7073	-677.369	1037.13	-95.2781	-688.202
121	0	1240.88	-214.884	-719.302	1077.15	-381.691	-681.103	1440.58	-335.594	-670.987	1425.09	-52.6025	-677.355	1037.12	-95.2659	-688.192
122	0	1240.88	-214.893	-719.298	1076.98	-381.592	-681.265	1440.53	-335.637	-670.745	1425.25	-52.749	-677.363	1037.14	-95.2863	-688.203
123	0	1240.84	-214.867	-719.306	1076.99	-381.596	-681.269	1440.54	-335.649	-670.754	1425.21	-52.7415	-677.372	1037.12	-95.2686	-688.187
124	0	1240.72	-214.856	-719.133	1076.96	-381.582	-681.294	1440.63	-335.596	-670.992	1425.25	-52.7105	-677.552	1037.13	-95.2785	-688.197
125	0	1240.86	-214.877	-719.312	1077.16	-381.704	-681.115	1440.68	-335.628	-670.962	1425.3	-52.7372	-677.538	1036.93	-95.1706	-688.365
126	0	1240.85	-214.873	-719.292	1077.18	-381.71	-681.1	1440.77	-335.666	-670.954	1425.28	-52.7297	-677.519	1036.9	-95.1371	-688.36
127	0	1240.84	-214.868	-719.305	1077.15	-381.699	-681.111	1440.66	-335.629	-670.966	1425.44	-52.7875	-677.69	1036.97	-95.1716	-688.362
128	0	1240.83	-214.853	-719.317	1077.02	-381.593	-681.291	1440.66	-335.622	-671.012	1425.34	-52.7447	-677.579	1036.94	-95.1718	-688.366
129	0	1240.62	-214.801	-719.167	1077.04	-381.622	-681.296	1440.64	-335.603	-671	1425.47	-52.7938	-677.709	1036.9	-95.145	-688.383
130	0	1240.65	-214.815	-719.165	1076.99	-381.597	-681.287	1440.72	-335.624	-671.044	1425.16	-52.6792	-677.364	1037.12	-95.2787	-688.206
131	0	1240.84	-214.873	-719.311	1076.99	-381.591	-681.289	1440.73	-335.631	-671.068	1425.31	-52.7479	-677.557	1037.12	-95.2821	-688.185
132	0	1240.87	-214.879	-719.303	1076.93	-381.561	-681.299	1440.75	-335.625	-671.073	1425.34	-52.7621	-677.538	1036.94	-95.174	-688.362
133	0	1240.65	-214.824	-719.161	1076.92	-381.557	-681.305	1440.72	-335.618	-671.055	1425.31	-52.7322	-677.572	1036.95	-95.159	-688.369
134	0	1240.83	-214.86	-719.301	1076.99	-381.6	-681.315	1440.68	-335.605	-671.108	1425.41	-52.768	-677.697	1036.93	-95.1623	-688.364
135	0	1240.7	-214.833	-719.133	1076.91	-381.555	-681.308	1440.8	-335.617	-671.164	1425.19	-52.7306	-677.35	1036.96	-95.1712	-688.352
136	0	1240.84	-214.869	-719.305	1076.96	-381.576	-681.337	1440.87	-335.66	-671.182	1425.27	-52.7355	-677.532	1037.11	-95.2602	-688.192
137	0	1240.85	-214.876	-719.312	1076.94	-381.563	-681.337	1440.63	-335.566	-671.124	1425.16	-52.6748	-677.382	1036.92	-95.1556	-688.362
138	0	1240.61	-214.801	-719.162	1076.96	-381.565	-681.351	1440.66	-335.588	-671.138	1425.44	-52.7813	-677.708	1037.13	-95.274	-688.207
139	0	1240.84	-214.866	-719.313	1076.89	-381.535	-681.336	1440.58	-335.649	-670.73	1425.19	-52.6996	-677.381	1036.94	-95.1605	-688.355
140	0	1240.79	-214.883	-719.161	1076.96	-381.546	-681.329	1440.57	-335.585	-670.964	1425.26	-52.7847	-677.364	1036.97	-95.1839	-688.352
141	0	1240.88	-214.9	-719.301	1077.22	-381.735	-681.093	1440.66	-335.62	-670.991	1425.07	-52.5905	-677.37	1036.93	-95.1609	-688.351
142	0	1240.88	-214.896	-719.319	1077.2	-381.677	-681.273	1440.5	-335.561	-670.948	1425.13	-52.6331	-677.369	1037.13	-95.2729	-688.198
143	0	1240.85	-214.868	-719.319	1076.9	-381.557	-681.252	1440.58	-335.599	-671.002	1425.32	-52.761	-677.54	1037.13	-95.2734	-688.199
144	0	1240.86	-214.885	-719.319	1077.24	-381.765	-681.089	1440.67	-335.623	-671.025	1425.17	-52.6771	-677.385	1037.14	-95.2805	-688.206
145	0	1240.88	-214.886	-719.3	1077.05	-381.623	-681.271	1440.66	-335.605	-671.019	1425.41	-52.7773	-677.703	1036.91	-95.1445	-688.358
146	0	1240.85	-214.879	-719.314	1076.98	-381.58	-681.273	1440.58	-335.645	-670.773	1425.35	-52.7447	-677.542	1036.92	-95.1552	-688.355
147	0	1240.71	-214.842	-719.144	1077.19	-381.675	-681.299	1440.77	-335.671	-670.991	1425.25	-52.7442	-677.374	1036.93	-95.1542	-688.363
148	0	1240.56	-214.786	-719.17	1077.37	-381.747	-681.275	1440.78	-335.658	-670.988	1425.4	-52.7607	-677.655	1036.95	-95.1637	-688.359
149	0	1240.85	-214.873	-719.311	1076.97	-381.591	-681.302	1440.62	-335.601	-670.996	1425.45	-52.8006	-677.711	1036.96	-95.1666	-688.375
150	0	1240.62	-214.814	-719.178	1077.05	-381.618	-681.251	1440.59	-335.59	-670.985	1425.3	-52.7143	-677.545	1036.94	-95.1586	-688.375
151	0	1240.61	-214.794	-719.168	1077.22	-381.734	-681.092	1440.78	-335.666	-671.021	1425.46	-52.8008	-677.704	1036.94	-95.1579	-688.395
152	0	1240.68	-214.823	-719.171	1076.98	-381.587	-681.28	1440.57	-335.569	-671.019	1425.3	-52.7259	-677.539	1037.09	-95.2561	-688.201
153	0	1240.85	-214.875	-719.294	1076.87	-381.536	-681.301	1440.59	-335.648	-670.763	1425.03	-52.5119	-677.401	1036.9	-95.1435	-688.367
154	0	1240.76	-214.867	-719.148	1077.01	-381.603	-681.299	1440.78	-335.676	-670.991	1425.31	-52.7337	-677.527	1037.12	-95.2679	-688.208
155	0	1240.61	-214.796	-719.156	1077	-381.583	-681.309	1440.53	-335.56	-670.97	1425.32	-52.7456	-677.529	1036.93	-95.1633	-688.358
156	0	1240.85	-214.88	-719.308	1076.96	-381.584	-681.263	1440.56	-335.639	-670.751	1425.33	-52.7417	-677.562	1036.89	-95.135	-688.37
157	0	1240.73	-214.841	-719.148	1076.96	-381.575	-681.301	1440.65	-335.615	-670.979	1425.26	-52.7287	-677.534	1036.97	-95.1715	-688.354
158	0	1240.77	-214.873	-719.159	1077.19	-381.727	-681.097	1440.78	-335.657	-670.984	1425.34	-52.749	-677.537	1036.95	-95.1686	-688.362
159	0	1240.68	-214.828	-719.161	1076.93	-381.554	-681.304	1440.75	-335.64	-671.006	1425.29	-52.7308	-677.534	1037.12	-95.2679	-688.2
160	0	1240.86	-214.879	-719.305	1076.97	-381.584	-681.276	1440.55	-335.638	-670.744	1425.27	-52.7237	-677.541	1036.93	-95.1617	-688.356
161	0	1240.66	-214.818	-719.163	1076.96	-381.588	-681.272	1440.68	-335.629	-670.997	1425.3	-52.7363	-677.546	1037.13	-95.2776	-688.194
162	0	1240.84	-214.867	-719.294	1076.95	-381.579	-681.278	1440.65	-335.62	-670.963	1425.44	-52.7924	-677.703	1037.14	-95.2885	-688.196
163	0	1240.88	-214.896	-719.289	1077.19	-381.718	-681.091	1440.64	-335.615	-670.989	1425.21	-52.7421	-677.379	1037.12	-95.2748	-688.205
164	0	1240.84	-214.866	-719.306	1077.45	-381.784	-681.298	1440.68	-335.625	-670.963	1425.19	-52.7019	-677.381	1037.12	-95.2699	-688.203
165	0	1240.6	-214.799	-719.182	1077.14	-381.708	-681.113	1440.51	-335.57	-670.981	1425.29	-52.7193	-677.533	1037.01	-95.1993	-688.354
166	0	1240.87	-214.889	-719.313	1076.99	-381.591	-681.289	1440.7	-335.624	-671.012	1425.3	-52.7416	-677.573	1036.91	-95.1636	-688.367
167	0	1240.6	-214.805	-719.171	1076.93	-381.562	-681.271	1440.65	-335.603	-671.047	1425.18	-52.7171	-677.371	1037.15	-95.2766	-688.198
