Trajectories
100
		platform:platform1			platform:platform2			platform:platform3			platform:platform4			platform:platform5			
Frame	Sub Frame	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
		mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
1
2
3	0	373.091	-819.966	-327.267				568.027	-958.09	-342.069	562.848	-685.313	-420.242	214.759	-662.542	-241.525
4	0	372.996	-820.523	-327.73				568.03	-958.098	-342.079	562.817	-685.24	-420.271	214.768	-662.701	-241.625
5	0	373.068	-820.098	-327.347				568.009	-958.116	-342.063	562.832	-685.355	-420.249	214.782	-662.698	-241.658
6	0	373.044	-820.25	-327.441				567.997	-958.149	-342.06	562.827	-685.354	-420.258	214.729	-662.557	-241.583
7	0	373.054	-820.09	-327.368				567.975	-958.151	-342.044	562.828	-685.387	-420.262	214.742	-662.561	-241.615
8	0	372.993	-820.492	-327.679				567.977	-958.181	-342.034	562.834	-685.409	-420.277	214.742	-662.548	-241.64
9	0	373.053	-820.133	-327.393				567.96	-958.211	-342.044	562.829	-685.413	-420.276	214.754	-662.576	-241.668
10	0	373.042	-820.183	-327.418				567.952	-958.199	-342.014	562.82	-685.405	-420.279	214.708	-662.567	-241.656
11	0	373.042	-820.128	-327.36				567.949	-958.223	-341.993	562.813	-685.437	-420.29	214.69	-662.57	-241.676
12	0	372.984	-820.54	-327.709				567.93	-958.226	-341.973	562.814	-685.448	-420.282	214.735	-662.579	-241.693
13	0	373.027	-820.191	-327.415				567.91	-958.253	-341.988	562.801	-685.472	-420.296	214.701	-662.589	-241.69
14	0	373.032	-820.207	-327.412				567.929	-958.238	-341.974	562.797	-685.465	-420.299	214.69	-662.558	-241.693
15	0	373.04	-820.235	-327.425				567.916	-958.241	-341.97	562.792	-685.482	-420.303	214.658	-662.537	-241.712
16	0	373.038	-820.172	-327.388				567.897	-958.27	-341.966	562.777	-685.489	-420.317	214.662	-662.545	-241.737
17	0	373.034	-820.175	-327.38				567.911	-958.255	-341.956	562.779	-685.515	-420.324	214.63	-662.563	-241.707
