Trajectories
100
		platform:platform1			platform:platform2			platform:platform3			platform:platform4			platform:platform5			
Frame	Sub Frame	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
		mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
1	0	364.361	-817.015	-374.244				564.146	-947.284	-391.74	544.129	-678.056	-478.696			
2	0	364.362	-817.003	-374.237				564.14	-947.287	-391.738	544.138	-678.062	-478.699			
3	0	364.372	-816.982	-374.212				564.149	-947.283	-391.739	544.145	-678.051	-478.688			
4	0	364.364	-816.998	-374.221				564.147	-947.289	-391.745	544.137	-678.056	-478.7			
5	0	364.374	-816.988	-374.206				564.139	-947.287	-391.736	544.135	-678.045	-478.693			
6	0	364.361	-816.965	-374.217				564.137	-947.292	-391.734	544.127	-678.023	-478.693			
7	0	364.367	-816.982	-374.215				564.136	-947.278	-391.723	544.13	-678.068	-478.697			
8	0	364.373	-816.97	-374.208				564.134	-947.255	-391.703	544.137	-678.049	-478.686			
9	0	364.364	-816.965	-374.203				564.111	-947.293	-391.73	544.131	-678.07	-478.7			
10	0	364.355	-816.955	-374.202				564.124	-947.274	-391.709	544.13	-678.053	-478.691			
11	0	364.364	-816.953	-374.196				564.104	-947.275	-391.709	544.123	-678.031	-478.684			
12	0	364.372	-816.95	-374.195				564.104	-947.283	-391.708	544.125	-678.057	-478.693			
13	0	364.183	-817.9	-374.859				564.117	-947.267	-391.698	544.127	-678.07	-478.694			
14	0	364.379	-816.98	-374.21				564.11	-947.282	-391.68	544.127	-678.08	-478.689			
15	0	364.371	-816.974	-374.218				564.099	-947.313	-391.707	544.127	-678.044	-478.697			
16	0	364.373	-816.957	-374.193				564.118	-947.28	-391.693	544.132	-678.065	-478.69			
17	0	364.37	-816.972	-374.197				564.1	-947.302	-391.716	544.131	-678.041	-478.682			
18	0	364.367	-816.982	-374.234				564.103	-947.287	-391.694	544.136	-678.063	-478.695			
19	0	364.324	-817.649	-374.781				564.105	-947.275	-391.695	544.127	-678.084	-478.69			
20	0	364.363	-816.949	-374.196				564.108	-947.279	-391.695	544.12	-678.045	-478.684			
21	0	364.357	-816.947	-374.198				564.107	-947.272	-391.698	544.126	-678.072	-478.688			
22	0	364.357	-816.962	-374.212				564.105	-947.268	-391.687	544.12	-678.044	-478.696			
23	0	364.344	-816.974	-374.198				564.103	-947.287	-391.707	544.11	-678.038	-478.691			
24	0	364.363	-816.963	-374.208				564.106	-947.287	-391.701	544.115	-678.041	-478.693			
25	0	364.36	-816.95	-374.189				564.109	-947.267	-391.681	544.123	-678.081	-478.698			
26	0	364.315	-817.616	-374.756				564.114	-947.283	-391.707	544.144	-678.075	-478.69			
27	0	364.356	-816.969	-374.206				564.102	-947.295	-391.713	544.107	-677.973	-478.673			
28	0	364.354	-816.977	-374.209				564.114	-947.281	-391.679	544.122	-678.01	-478.686			
29	0	364.373	-816.96	-374.215				564.115	-947.283	-391.685	544.121	-678.03	-478.682			
30	0	364.375	-816.946	-374.202				564.114	-947.278	-391.699	544.118	-678.012	-478.683			
31	0	364.353	-816.985	-374.216				564.116	-947.27	-391.682	544.115	-678.029	-478.688			
32	0	364.358	-816.973	-374.207				564.108	-947.276	-391.688	544.125	-678.013	-478.686			
33	0	364.378	-817.464	-374.659				564.103	-947.285	-391.696	544.12	-678.026	-478.685			
34	0	364.354	-816.963	-374.203				564.103	-947.288	-391.705	544.107	-677.967	-478.672			
35	0	364.366	-816.955	-374.203				564.097	-947.291	-391.696	544.11	-678.022	-478.684			
36	0	364.369	-816.983	-374.215				564.103	-947.281	-391.698	544.111	-678.015	-478.684			
37	0	364.178	-817.875	-374.828				564.103	-947.284	-391.698	544.124	-678.014	-478.689			
38	0	364.314	-817.638	-374.788				564.095	-947.314	-391.707	544.124	-678.015	-478.68			
39	0	364.364	-816.968	-374.205				564.109	-947.291	-391.7	544.121	-678.018	-478.68			
40	0	364.359	-816.999	-374.224				564.121	-947.274	-391.69	544.125	-678.044	-478.683			
41	0	364.369	-816.968	-374.2				564.103	-947.307	-391.707	544.12	-678.029	-478.684			
42	0	364.372	-816.968	-374.202				564.113	-947.278	-391.69	544.11	-678.029	-478.689			
43	0	364.371	-816.956	-374.201				564.105	-947.289	-391.699	544.119	-678.04	-478.686			
44	0	364.364	-816.961	-374.206				564.108	-947.279	-391.688	544.117	-678.042	-478.694			
45	0	364.364	-817.516	-374.704				564.102	-947.287	-391.693	544.115	-678.05	-478.684			
46	0	364.36	-816.961	-374.193				564.107	-947.298	-391.705	544.118	-678.041	-478.695			
47	0	364.366	-816.987	-374.221				564.101	-947.296	-391.713	544.125	-678.075	-478.691			
48	0	364.364	-816.963	-374.215				564.107	-947.291	-391.716	544.123	-678.086	-478.693			
49	0	364.358	-817.521	-374.711				564.109	-947.28	-391.702	544.128	-678.074	-478.687			
50	0	364.36	-816.97	-374.206				564.097	-947.296	-391.71	544.132	-678.072	-478.691			
51	0	364.362	-816.95	-374.189				564.114	-947.275	-391.692	544.128	-678.073	-478.693			
52	0	364.364	-816.958	-374.191				564.114	-947.28	-391.696	544.125	-678.051	-478.692			
53	0	364.373	-816.962	-374.199				564.102	-947.307	-391.709	544.14	-678.086	-478.689			
54	0	364.35	-816.986	-374.22				564.105	-947.289	-391.699	544.13	-678.048	-478.691			
55	0	364.363	-816.958	-374.2				564.105	-947.287	-391.705	544.126	-678.066	-478.685			
56	0	364.321	-817.604	-374.749				564.11	-947.286	-391.7	544.143	-678.088	-478.695			
57	0	364.36	-816.971	-374.206				564.106	-947.289	-391.694	544.128	-678.071	-478.699			
58	0	364.368	-816.934	-374.179				564.112	-947.282	-391.699	544.128	-678.092	-478.704			
59	0	364.182	-817.93	-374.898				564.105	-947.294	-391.709	544.112	-678.047	-478.696			
60	0	364.371	-816.965	-374.205				564.107	-947.296	-391.714	544.124	-678.053	-478.695			
61	0	364.366	-816.968	-374.211				564.105	-947.299	-391.721	544.133	-678.068	-478.687			
62	0	364.361	-817.007	-374.227				564.108	-947.276	-391.706	544.128	-678.071	-478.696			
63	0	364.37	-816.954	-374.193				564.1	-947.292	-391.7	544.133	-678.052	-478.686			
64	0	364.373	-816.941	-374.2				564.102	-947.294	-391.708	544.121	-678.084	-478.695			
65	0	364.363	-816.989	-374.222				564.093	-947.31	-391.715	544.13	-678.091	-478.697			
66	0	364.366	-816.959	-374.199				564.095	-947.294	-391.716	544.127	-678.077	-478.691			
67	0	364.357	-816.987	-374.216				564.108	-947.284	-391.699	544.13	-678.066	-478.699			
68	0	364.37	-816.949	-374.201				564.098	-947.305	-391.704	544.121	-678.06	-478.696			
69	0	364.357	-816.982	-374.219				564.101	-947.3	-391.712	544.131	-678.069	-478.702			
70	0	364.363	-816.975	-374.207				564.108	-947.3	-391.706	544.133	-678.092	-478.703			
71	0	364.36	-816.967	-374.199				564.11	-947.288	-391.704	544.136	-678.084	-478.695			
72	0	364.363	-816.982	-374.227				564.111	-947.285	-391.713	544.126	-678.066	-478.699			
73	0	364.352	-816.962	-374.22				564.106	-947.29	-391.713	544.124	-678.063	-478.693			
74	0	364.348	-816.987	-374.224				564.102	-947.297	-391.699	544.137	-678.062	-478.696			
75	0	364.352	-816.992	-374.208				564.093	-947.305	-391.72	544.121	-678.073	-478.696			
76	0	364.35	-816.986	-374.216				564.092	-947.3	-391.716	544.125	-678.085	-478.706			
77	0	364.371	-816.936	-374.181				564.101	-947.288	-391.707	544.101	-677.966	-478.68			
78	0	364.349	-816.983	-374.214				564.1	-947.289	-391.706	544.104	-677.98	-478.683			
79	0	364.364	-816.957	-374.207				564.107	-947.288	-391.706	544.11	-678.02	-478.693			
80	0	364.369	-816.967	-374.203				564.108	-947.301	-391.701	544.116	-677.968	-478.681			
81	0	364.362	-816.996	-374.222				564.116	-947.291	-391.706	544.122	-678.025	-478.69			
82	0	364.362	-817.01	-374.23				564.106	-947.3	-391.713	544.126	-678.018	-478.697			
83	0	364.353	-816.976	-374.206				564.104	-947.3	-391.721	544.128	-678.036	-478.688			
84	0	364.319	-817.658	-374.789				564.103	-947.311	-391.716	544.124	-678.006	-478.68			
85	0	364.35	-817.561	-374.735				564.102	-947.29	-391.706	544.124	-678.043	-478.692			
86	0	364.36	-816.967	-374.194				564.109	-947.286	-391.698	544.113	-678.031	-478.695			
