Trajectories
100
		platform:platform1			platform:platform2			platform:platform3			platform:platform4			platform:platform5			
Frame	Sub Frame	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
		mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
1	0	1790.58	533.783	-358.247	1610.97	390.714	-417.029	1967.92	375.815	-331.581	1974.27	638.772	-226.454	1593.97	660.581	-314.603
2	0	1790.53	533.813	-358.25	1611.74	390.322	-417.293	1967.88	375.816	-331.58	1974.24	638.785	-226.436	1594.64	660.57	-315.202
3	0	1790.56	533.794	-358.254	1610.96	390.687	-417.048	1967.91	375.818	-331.591	1974.23	638.772	-226.423	1593.99	660.548	-314.606
4	0	1790.57	533.78	-358.257	1611	390.674	-417.059	1967.89	375.834	-331.585	1974.25	638.779	-226.452	1593.94	660.56	-314.551
5	0	1790.57	533.79	-358.269	1610.99	390.671	-417.061	1967.88	375.828	-331.572	1974.2	638.784	-226.412	1594.01	660.568	-314.624
6	0	1790.54	533.815	-358.255	1610.97	390.673	-417.042	1967.88	375.828	-331.578	1974.25	638.774	-226.463	1593.95	660.567	-314.579
7	0	1790.61	533.783	-358.298	1610.94	390.68	-417.034	1967.86	375.829	-331.569	1974.23	638.772	-226.446	1593.91	660.599	-314.602
8	0	1790.6	533.807	-358.299	1610.94	390.686	-417.032	1967.87	375.838	-331.577	1974.2	638.779	-226.449	1593.96	660.578	-314.616
9	0	1790.54	533.823	-358.274	1610.88	390.702	-417.028	1967.89	375.832	-331.586	1974.21	638.787	-226.462	1593.97	660.586	-314.617
10	0	1790.54	533.847	-358.306	1610.96	390.682	-417.048	1967.85	375.841	-331.563	1974.23	638.761	-226.441	1594.84	660.442	-315.206
11	0	1790.6	533.827	-358.31	1610.89	390.687	-417.029	1967.89	375.835	-331.58	1974.23	638.776	-226.476	1594	660.578	-314.65
12	0	1790.6	533.834	-358.322	1610.89	390.719	-417.022	1967.86	375.847	-331.572	1974.24	638.769	-226.472	1593.95	660.601	-314.636
13	0	1790.57	533.871	-358.317	1610.82	390.717	-417.006	1967.87	375.847	-331.564	1974.18	638.819	-226.475	1594	660.604	-314.629
14	0	1790.56	533.857	-358.308	1610.97	390.675	-417.06	1967.89	375.832	-331.578	1974.21	638.803	-226.456	1594.06	660.571	-314.686
15	0	1790.53	533.862	-358.294	1610.91	390.694	-417.029	1967.86	375.853	-331.569	1974.16	638.8	-226.441	1594.67	660.503	-315.137
16	0	1791.16	533.852	-358.808	1610.95	390.683	-417.039	1967.85	375.849	-331.563	1974.16	638.781	-226.435	1594	660.587	-314.629
17	0	1790.59	533.875	-358.355	1610.89	390.688	-417.037	1967.87	375.84	-331.569	1974.16	638.814	-226.465	1594	660.579	-314.648
18	0	1791.16	533.849	-358.805	1610.99	390.661	-417.078	1967.86	375.837	-331.581	1974.22	638.803	-226.482	1594.65	660.481	-315.115
19	0	1790.52	533.9	-358.358	1610.97	390.674	-417.054	1967.87	375.838	-331.585	1974.18	638.781	-226.447	1594.05	660.562	-314.687
20	0	1790.55	533.891	-358.363	1610.87	390.689	-417.028	1967.85	375.846	-331.576	1974.21	638.773	-226.453	1593.97	660.583	-314.641
21	0	1790.56	533.901	-358.366	1610.87	390.695	-417.025	1967.89	375.841	-331.582	1974.15	638.815	-226.455	1594.04	660.58	-314.667
22	0	1790.54	533.902	-358.342	1610.94	390.693	-417.042	1967.88	375.841	-331.572	1974.19	638.772	-226.432	1594.02	660.576	-314.669
23	0	1790.55	533.895	-358.34	1611	390.648	-417.077	1967.85	375.847	-331.567	1974.15	638.817	-226.454	1594.01	660.571	-314.677
24	0	1790.54	533.899	-358.337	1610.96	390.686	-417.029	1967.83	375.853	-331.544	1974.16	638.805	-226.434	1594.01	660.551	-314.643
25	0	1790.54	533.898	-358.339	1610.83	390.711	-417.031	1967.85	375.858	-331.558	1974.16	638.781	-226.416	1594.02	660.585	-314.617
26	0	1790.54	533.884	-358.348	1610.94	390.686	-417.053	1967.86	375.848	-331.573	1974.17	638.814	-226.475	1593.99	660.566	-314.641
27	0	1790.5	533.889	-358.332	1610.93	390.688	-417.045	1967.84	375.866	-331.561	1974.2	638.769	-226.47	1593.97	660.586	-314.627
28	0	1790.48	533.915	-358.302	1610.89	390.673	-417.059	1967.88	375.843	-331.592	1974.2	638.795	-226.455	1593.97	660.572	-314.632
29	0	1790.53	533.902	-358.34	1610.97	390.658	-417.046	1967.86	375.844	-331.568	1974.22	638.807	-226.491	1593.97	660.578	-314.619
30	0	1790.49	533.926	-358.352	1610.86	390.693	-417.041	1967.84	375.844	-331.575	1974.12	638.809	-226.431	1593.93	660.586	-314.651
31	0	1791.04	533.914	-358.788	1610.9	390.715	-417.048	1967.86	375.84	-331.583	1974.16	638.82	-226.463	1594.55	660.545	-315.11
32	0	1790.55	533.892	-358.364	1610.9	390.688	-417.047	1967.84	375.854	-331.577	1974.21	638.785	-226.463	1594	660.565	-314.66
33	0	1790.58	533.884	-358.365	1610.82	390.704	-417.024	1967.83	375.854	-331.549	1974.14	638.822	-226.454	1594.02	660.567	-314.645
34	0	1790.4	533.962	-358.292	1610.87	390.692	-417.034	1967.82	375.866	-331.566	1974.15	638.808	-226.434	1593.96	660.606	-314.652
35	0	1790.59	533.871	-358.372	1610.9	390.697	-417.014	1967.84	375.844	-331.558	1974.16	638.829	-226.449	1594.01	660.589	-314.651
36	0	1790.56	533.899	-358.363	1610.98	390.668	-417.044	1967.89	375.844	-331.584	1974.2	638.802	-226.451	1594.03	660.571	-314.643
37	0	1790.52	533.916	-358.363	1610.89	390.721	-417.031	1967.85	375.858	-331.575	1974.18	638.806	-226.455	1594.02	660.583	-314.654
38	0	1790.53	533.906	-358.365	1610.95	390.684	-417.051	1967.84	375.855	-331.571	1974.16	638.801	-226.43	1593.99	660.581	-314.667
39	0	1790.57	533.887	-358.349	1610.84	390.71	-417.021	1967.83	375.865	-331.559	1974.22	638.816	-226.501	1594.03	660.557	-314.651
40	0	1790.53	533.917	-358.336	1610.92	390.707	-417.041	1967.87	375.848	-331.589	1974.16	638.803	-226.449	1594.64	660.508	-315.12
41	0	1790.53	533.893	-358.344	1610.92	390.692	-417.038	1967.83	375.869	-331.576	1974.19	638.778	-226.449	1594.02	660.57	-314.639
42	0	1790.54	533.881	-358.328	1610.9	390.709	-417.028	1967.86	375.856	-331.587	1974.16	638.807	-226.435	1594.03	660.574	-314.604
43	0	1791.27	533.793	-358.838	1610.95	390.686	-417.02	1967.82	375.87	-331.572	1974.25	638.761	-226.485	1594	660.585	-314.636
44	0	1790.53	533.915	-358.332	1610.94	390.688	-417.035	1967.83	375.869	-331.582	1974.18	638.813	-226.469	1593.99	660.574	-314.636
45	0	1790.52	533.931	-358.346	1611.54	390.437	-417.221	1967.84	375.854	-331.57	1974.14	638.81	-226.458	1594.01	660.574	-314.61
46	0	1790.53	533.907	-358.348	1610.9	390.679	-417.03	1967.85	375.853	-331.57	1974.15	638.816	-226.432	1594.65	660.511	-315.123
47	0	1791.04	533.937	-358.788	1610.99	390.664	-417.047	1967.87	375.845	-331.576	1974.13	638.814	-226.443	1594.01	660.572	-314.651
48	0	1790.54	533.91	-358.329	1610.99	390.668	-417.042	1967.87	375.844	-331.577	1974.25	638.785	-226.474	1593.99	660.592	-314.641
49	0	1790.51	533.933	-358.341	1610.83	390.71	-417.024	1967.86	375.858	-331.565	1974.2	638.818	-226.469	1594.05	660.575	-314.642
50	0	1790.55	533.891	-358.358	1610.93	390.69	-417.041	1967.84	375.866	-331.545	1974.22	638.779	-226.45	1594.67	660.48	-315.1
51	0	1790.56	533.892	-358.377	1610.82	390.72	-417.01	1967.86	375.857	-331.559	1974.17	638.816	-226.449	1594.02	660.597	-314.669
52	0	1790.52	533.925	-358.341	1610.9	390.715	-417.032	1967.84	375.86	-331.561	1974.21	638.801	-226.48	1594	660.598	-314.651
53	0	1790.5	533.919	-358.331	1610.94	390.685	-417.037	1967.85	375.862	-331.561	1974.19	638.794	-226.44	1593.95	660.64	-314.639
54	0	1790.56	533.89	-358.325	1611.19	390.489	-417.039	1967.85	375.852	-331.565	1974.18	638.783	-226.432	1594.04	660.573	-314.649
55	0	1790.56	533.884	-358.359	1611.22	390.443	-417.056	1967.83	375.854	-331.549	1974.18	638.781	-226.45	1594	660.608	-314.637
56	0	1790.53	533.897	-358.315	1610.91	390.693	-417.018	1967.86	375.858	-331.568	1974.16	638.795	-226.433	1594.61	660.513	-315.076
57	0	1790.56	533.862	-358.32	1610.95	390.674	-417.064	1967.87	375.845	-331.573	1974.17	638.811	-226.442	1594.05	660.564	-314.652
58	0	1791.16	533.852	-358.829	1610.95	390.681	-417.031	1967.84	375.843	-331.552	1974.23	638.797	-226.491	1593.98	660.593	-314.634
59	0	1791.23	533.811	-358.821	1610.92	390.676	-417.052	1967.89	375.848	-331.565	1974.22	638.79	-226.475	1594.04	660.565	-314.644
60	0	1790.55	533.919	-358.349	1611.18	390.477	-417.032	1967.87	375.859	-331.554	1974.21	638.788	-226.433	1594.04	660.556	-314.657
61	0	1790.5	534.092	-358.477	1610.92	390.677	-417.05	1967.87	375.848	-331.564	1974.17	638.816	-226.444	1594.03	660.571	-314.635
62	0	1791.24	533.799	-358.837	1610.92	390.689	-417.037	1967.86	375.858	-331.552	1974.22	638.8	-226.46	1594.05	660.57	-314.622
63	0	1790.56	533.909	-358.356	1610.95	390.683	-417.041	1967.87	375.847	-331.565	1974.24	638.815	-226.479	1594	660.579	-314.652
64	0	1790.57	533.904	-358.365	1610.86	390.702	-417.01	1967.87	375.857	-331.569	1974.19	638.812	-226.435	1594.05	660.546	-314.654
65	0	1791.11	533.877	-358.8	1610.95	390.677	-417.045	1967.86	375.857	-331.558	1974.19	638.803	-226.448	1594.05	660.551	-314.643
66	0	1790.48	533.913	-358.295	1610.91	390.697	-417.036	1967.86	375.854	-331.572	1974.22	638.791	-226.463	1594.63	660.499	-315.072
67	0	1790.45	533.939	-358.302	1610.93	390.689	-417.052	1967.86	375.846	-331.566	1974.21	638.771	-226.44	1594.54	660.536	-315.051
68	0	1791.31	533.765	-358.866	1610.9	390.703	-417.008	1967.87	375.844	-331.59	1974.18	638.804	-226.445	1593.99	660.571	-314.639
69	0	1791.19	533.843	-358.812	1610.89	390.713	-417.015	1967.85	375.852	-331.567	1974.19	638.793	-226.438	1594.78	660.457	-315.149
70	0	1790.54	533.91	-358.355	1610.92	390.699	-417.034	1967.86	375.85	-331.569	1974.19	638.793	-226.427	1594.01	660.584	-314.634
71	0	1790.44	533.948	-358.285	1610.93	390.698	-417.027	1967.88	375.84	-331.582	1974.22	638.806	-226.474	1594	660.581	-314.644
72	0	1790.57	533.897	-358.349	1610.96	390.666	-417.067	1967.88	375.837	-331.576	1974.2	638.796	-226.42	1594.01	660.568	-314.629
73	0	1790.58	533.888	-358.36	1610.95	390.69	-417.038	1967.86	375.845	-331.555	1974.21	638.808	-226.46	1593.99	660.596	-314.669
74	0	1790.57	533.884	-358.361	1610.93	390.703	-417.034	1967.85	375.852	-331.562	1974.2	638.775	-226.442	1594.02	660.562	-314.653
75	0	1791.1	533.888	-358.794	1610.88	390.716	-417.033	1967.85	375.845	-331.559	1974.11	638.815	-226.389	1594	660.57	-314.637
76	0	1790.5	533.918	-358.331	1610.93	390.695	-417.039	1967.84	375.858	-331.552	1974.26	638.799	-226.504	1594.03	660.573	-314.638
77	0	1791.2	533.817	-358.823	1610.95	390.691	-417.028	1967.86	375.839	-331.573	1974.21	638.783	-226.439	1594	660.571	-314.636
