Trajectories
100
		platform:platform1			platform:platform2			platform:platform3			platform:platform4			platform:platform5			
Frame	Sub Frame	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
		mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
1	0	356.856	-820.774	-374.025				558.364	-947.197	-392.243	532.886	-679.288	-481.828			
2	0	356.841	-819.933	-373.23				558.364	-947.206	-392.246	532.884	-679.282	-481.829			
3	0	356.85	-819.904	-373.222				558.366	-947.203	-392.24	532.881	-679.284	-481.832			
4	0	356.761	-821.066	-374.189				558.373	-947.206	-392.237	532.872	-679.278	-481.825			
5	0	356.837	-819.919	-373.234				558.363	-947.211	-392.25	532.88	-679.281	-481.812			
6	0	356.845	-819.923	-373.244				558.358	-947.209	-392.225	532.883	-679.301	-481.831			
7	0	356.715	-820.759	-373.856				558.367	-947.196	-392.219	532.882	-679.291	-481.815			
8	0	356.847	-819.916	-373.24				558.338	-947.229	-392.234	532.884	-679.289	-481.821			
9	0	356.706	-820.753	-373.857				558.347	-947.207	-392.217	532.874	-679.305	-481.822			
10	0	356.719	-820.713	-373.824				558.337	-947.213	-392.223	532.877	-679.291	-481.837			
11	0	356.729	-820.716	-373.849				558.339	-947.204	-392.2	532.886	-679.29	-481.817			
12	0	356.842	-819.914	-373.226				558.335	-947.224	-392.218	532.877	-679.277	-481.816			
13	0	356.842	-819.885	-373.211				558.327	-947.204	-392.2	532.877	-679.302	-481.827			
14	0	356.718	-820.575	-373.705				558.326	-947.206	-392.197	532.878	-679.312	-481.84			
15	0	356.837	-819.898	-373.23				558.331	-947.202	-392.201	532.879	-679.296	-481.821			
16	0	356.694	-820.667	-373.774				558.327	-947.212	-392.207	532.882	-679.278	-481.808			
17	0	356.708	-820.561	-373.7				558.32	-947.223	-392.213	532.884	-679.298	-481.82			
18	0	356.845	-819.914	-373.24				558.328	-947.196	-392.2	532.891	-679.281	-481.798			
