Trajectories
100
		platform:platform1			platform:platform2			platform:platform3			platform:platform4			platform:platform5			
Frame	Sub Frame	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
		mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
1	0	1133.19	-222.454	-965.653	937.076	-346.5	-916.46	1302.22	-389.181	-932.827	1355.35	-110.689	-935.659	967.224	-57.693	-917.452
2	0	1133.1	-222.374	-965.656	936.991	-346.423	-916.454	1302.16	-389.129	-932.846	1355.27	-110.623	-935.663	967.145	-57.6185	-917.431
3	0	1133	-222.298	-965.652	936.911	-346.359	-916.447	1302.07	-389.063	-932.872	1355.2	-110.564	-935.67	967.055	-57.5436	-917.406
4	0	1132.92	-222.228	-965.644	936.845	-346.29	-916.443	1301.99	-388.999	-932.891	1355.12	-110.497	-935.677	966.993	-57.4691	-917.377
5	0	1132.82	-222.146	-965.646	936.741	-346.214	-916.441	1301.92	-388.933	-932.916	1355.04	-110.437	-935.682	966.912	-57.4027	-917.352
6	0	1132.75	-222.068	-965.649	936.677	-346.138	-916.441	1301.81	-388.866	-932.945	1354.95	-110.381	-935.687	966.862	-57.3305	-917.333
7	0	1132.69	-222.005	-965.647	936.58	-346.073	-916.438	1301.71	-388.802	-932.962	1354.87	-110.317	-935.693	966.792	-57.2637	-917.309
8	0	1132.61	-221.933	-965.65	936.525	-345.996	-916.431	1301.63	-388.738	-932.985	1354.78	-110.252	-935.695	966.752	-57.1809	-917.288
9	0	1132.55	-221.865	-965.657	936.454	-345.936	-916.421	1301.54	-388.68	-933.005	1354.7	-110.187	-935.698	966.702	-57.1127	-917.271
10	0	1132.48	-221.791	-965.655	936.375	-345.869	-916.41	1301.46	-388.614	-933.025	1354.63	-110.138	-935.706	966.629	-57.0551	-917.245
11	0	1132.4	-221.722	-965.657	936.3	-345.794	-916.405	1301.36	-388.533	-933.054	1354.54	-110.078	-935.713	966.557	-56.9855	-917.222
12	0	1132.31	-221.642	-965.654	936.217	-345.735	-916.399	1301.28	-388.45	-933.069	1354.44	-110.028	-935.722	966.494	-56.9045	-917.196
13	0	1132.21	-221.574	-965.657	936.131	-345.671	-916.391	1301.2	-388.393	-933.093	1354.35	-109.97	-935.73	966.416	-56.8294	-917.176
14	0	1132.13	-221.521	-965.655	936.032	-345.594	-916.383	1301.13	-388.33	-933.114	1354.27	-109.904	-935.74	966.33	-56.748	-917.15
15	0	1132.04	-221.471	-965.647	935.934	-345.514	-916.387	1301.04	-388.268	-933.131	1354.21	-109.84	-935.741	966.26	-56.6731	-917.126
16	0	1131.95	-221.404	-965.648	935.845	-345.433	-916.382	1300.96	-388.203	-933.147	1354.13	-109.782	-935.745	966.115	-56.6264	-917.103
17	0	1131.88	-221.337	-965.647	935.756	-345.362	-916.385	1300.86	-388.154	-933.169	1354.06	-109.721	-935.746	966.01	-56.5718	-917.085
18	0	1131.81	-221.271	-965.649	935.667	-345.278	-916.377	1300.8	-388.1	-933.194	1354	-109.662	-935.745	965.926	-56.5011	-917.063
19	0	1131.76	-221.201	-965.642	935.622	-345.207	-916.377	1300.71	-388.036	-933.214	1353.95	-109.589	-935.746	965.861	-56.4401	-917.047
20	0	1131.67	-221.121	-965.637	935.544	-345.13	-916.372	1300.63	-387.981	-933.234	1353.88	-109.526	-935.749	965.726	-56.3808	-917.021
21	0	1131.6	-221.046	-965.64	935.478	-345.066	-916.367	1300.56	-387.908	-933.249	1353.82	-109.47	-935.754	965.659	-56.3147	-917
22	0	1131.53	-220.978	-965.636	935.43	-345.001	-916.367	1300.5	-387.85	-933.266	1353.74	-109.42	-935.766	965.608	-56.2434	-916.973
23	0	1131.45	-220.925	-965.641	935.351	-344.933	-916.357	1300.41	-387.8	-933.285	1353.69	-109.351	-935.771	965.533	-56.1931	-916.955
24	0	1131.38	-220.854	-965.644	935.295	-344.866	-916.346	1300.36	-387.763	-933.302	1353.59	-109.308	-935.781	965.468	-56.1283	-916.939
25	0	1131.32	-220.79	-965.641	935.219	-344.807	-916.334	1300.27	-387.738	-933.319	1353.54	-109.25	-935.792	965.402	-56.0735	-916.929
26	0	1131.24	-220.736	-965.642	935.16	-344.752	-916.332	1300.19	-387.673	-933.339	1353.46	-109.198	-935.797	965.308	-56.0194	-916.903
27	0	1131.15	-220.67	-965.644	935.081	-344.689	-916.328	1300.11	-387.624	-933.357	1353.4	-109.15	-935.799	965.223	-55.9596	-916.884
28	0	1131.08	-220.61	-965.647	935.027	-344.634	-916.316	1300.04	-387.559	-933.367	1353.35	-109.082	-935.804	965.181	-55.9087	-916.866
29	0	1131.03	-220.554	-965.644	934.965	-344.577	-916.317	1299.97	-387.476	-933.383	1353.28	-109.022	-935.804	965.132	-55.8389	-916.851
30	0	1130.96	-220.502	-965.641	934.929	-344.534	-916.313	1299.9	-387.412	-933.405	1353.2	-108.984	-935.805	965.09	-55.7854	-916.837
31	0	1130.93	-220.443	-965.646	934.873	-344.499	-916.313	1299.84	-387.344	-933.421	1353.13	-108.912	-935.812	965.03	-55.7349	-916.82
32	0	1130.9	-220.385	-965.64	934.849	-344.454	-916.303	1299.79	-387.3	-933.437	1353.07	-108.853	-935.819	964.965	-55.6925	-916.798
33	0	1130.85	-220.332	-965.644	934.789	-344.407	-916.303	1299.75	-387.271	-933.444	1353.01	-108.8	-935.825	964.897	-55.6485	-916.779
34	0	1130.79	-220.296	-965.646	934.738	-344.378	-916.294	1299.7	-387.2	-933.46	1352.96	-108.748	-935.837	964.821	-55.6089	-916.759
35	0	1130.73	-220.249	-965.641	934.686	-344.339	-916.291	1299.65	-387.161	-933.471	1352.92	-108.684	-935.847	964.774	-55.5726	-916.75
36	0	1130.67	-220.21	-965.639	934.624	-344.291	-916.282	1299.61	-387.111	-933.488	1352.88	-108.629	-935.854	964.739	-55.5278	-916.733
37	0	1130.61	-220.162	-965.643	934.591	-344.27	-916.274	1299.56	-387.057	-933.497	1352.84	-108.568	-935.86	964.705	-55.488	-916.718
38	0	1130.55	-220.13	-965.633	934.531	-344.222	-916.269	1299.54	-387.011	-933.505	1352.79	-108.527	-935.869	964.679	-55.436	-916.71
39	0	1130.49	-220.09	-965.637	934.487	-344.199	-916.265	1299.51	-386.983	-933.521	1352.77	-108.468	-935.867	964.646	-55.4041	-916.698
40	0	1130.42	-220.077	-965.638	934.448	-344.156	-916.26	1299.47	-386.933	-933.529	1352.72	-108.432	-935.872	964.589	-55.3704	-916.686
41	0	1130.37	-220.034	-965.64	934.417	-344.133	-916.251	1299.45	-386.91	-933.542	1352.67	-108.393	-935.878	964.518	-55.348	-916.673
42	0	1130.32	-220.005	-965.633	934.393	-344.096	-916.247	1299.43	-386.837	-933.554	1352.65	-108.342	-935.878	964.527	-55.2932	-916.66
43	0	1130.28	-219.959	-965.635	934.337	-344.058	-916.244	1299.4	-386.79	-933.561	1352.6	-108.303	-935.884	964.483	-55.2638	-916.649
44	0	1130.23	-219.928	-965.629	934.301	-344.032	-916.238	1299.37	-386.76	-933.568	1352.55	-108.268	-935.889	964.452	-55.2301	-916.642
45	0	1130.19	-219.887	-965.624	934.247	-343.999	-916.231	1299.34	-386.723	-933.576	1352.5	-108.225	-935.895	964.409	-55.2075	-916.632
46	0	1130.15	-219.859	-965.624	934.223	-343.971	-916.227	1299.32	-386.677	-933.583	1352.48	-108.184	-935.897	964.389	-55.1742	-916.621
47	0	1130.12	-219.831	-965.626	934.198	-343.953	-916.224	1299.29	-386.652	-933.59	1352.47	-108.123	-935.902	964.364	-55.1467	-916.617
